ที่	tʰîː	at	เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ
ซ่อมแซม	sɔ̂ːm sɛːm	repair	เขาเป็นอาสาสมัครช่วยทำงานด้านต่างๆ เช่น ซ่อมแซมอาคาร
เป็นกลาง	pen klaːŋ	neutral; impartial	การวางตัวเป็นกลางในบางเรื่องอาจจะไม่ใช่เรื่องง่ายนัก
เอย	ʔɤːj	the end	โอ้ว่าดึกแล้วหนอเจ้านกขมิ้นเหลืองอ่อนเอย
พยากรณ์	pʰá jaː kɔːn	forecast	กรมอุตุนิยมวิทยาพยากรณ์ว่าอากาศจะเย็นลงอีก
จีบ	tɕìːp	flirt	นักเรียนโรงเรียนชายชอบตามจีบนักเรียนหญิงที่เรียนอยู่โรงเรียนใกล้ๆ กัน
พรมแดน	pʰrom dɛːn	border	ทิวเขาที่อำเภอแม่สายจังหวัดเชียงรายเป็นพรมแดนทางธรรมชาติระหว่างไทยกับพม่าเรียกนามว่าทิวเขาแดนลาว
เตรียมพร้อม	triːam pʰrɔ́ːm	be ready; get ready	ชายไทยอายุ 21 ปีต้องเตรียมพร้อมที่จะเป็นทหารรับใช้ชาติ
รอน	rɔːn	cut; sever	เราออกมาจากป่า ขณะที่พระอาทิตย์ส่องแสงรอนๆ
โลภ	lôːp	greed	สำหรับคนที่โลภมาก เงินเท่านี้ถือว่านิดหน่อยเท่านั้น
หรู	rǔː	elegant; fancy	เธอพูดอย่างสวยหรูถึงโครงการที่จะจัดทำในปีหน้า
ฝืน	fɯ̌ːn	act against; og against	ผู้ใดที่ฝืนหรือไม่ปฏิบัติตามกฏกระทรวงหรือประกาศของรัฐมนตรีจะต้องระวางโทษปรับไม่เกิน 200,000 บาท
ปฐม	pà tʰǒm	first; primary; intitial	พระพุทธยอดฟ้าจุฬาโลกเป็นปฐมกษัตริย์แห่งกรุงรัตนโกสินทร์
ยืดหยุ่น	jɯ̂ːt jùn	stretch; expand	ลำตัวของไส้เดือนยืดหยุ่นได้
สมรรถภาพ	sà mát tʰà pʰâːp	capability; efficiency	คอมพิวเตอร์มีแนวโน้มที่จะถูกลงเรื่อยๆ แต่สมรรถภาพของมันกลับสูงขึ้น
แปลกหน้า	plɛ̀ːk nâː	strange	ช่วงนี้มีคนแปลกหน้าเดินเพ่นพ่านอยู่ในหมู่บ้าน ทุกคนต้องระวังให้ดี
ถ่ายทำ	tʰàːj tʰam	shoot; file; make a movie	การถ่ายทำภาพยนตร์เรื่องกาเหว่าที่บางเพลงมีขึ้นที่จังหวัดในภาคกลางของไทย
คึกคัก	kʰɯ́k kʰák	be active	เจ้าตูบคึกคักขึ้นมาทันทีเมื่อพ่อจะจูงไปเดินเล่นที่สวนสาธารณะ
สมัครใจ	sà màk tɕaj	voluntary	พม่ามุสลิมอีกกลุ่มหนึ่งสมัครใจตั้งรกรากอยู่ในบังกลาเทศต่อไป
พุ่ม	pʰûm	bush	ฉันเห็นตัวเหลืองๆ ลายเป็นจุดๆ โจนพรวดออกมาจากพุ่มรกข้างบ้าน
โดด	dòːt	jump; leap	นักแสดงโดดลงมาจากสะพาน
ศิลป	sìʔ lá pà	art	ขอเชิญชมการแสดงวงเครื่องสาย ณ หอศิลป์ เย็นวันศุกร์นี้
อิเล็กทรอนิกส์	ʔìʔ lék tʰrɔː ník	electronics	วิศวกรรมทางด้านอิเล็กทรอนิกส์กำลังก้าวหน้าไปอย่างมาก
นิกาย	níʔ kaːj	sect; denomination	กษัตริย์แห่งเกาะสุมาตรานำศาสนานิกายมหายานเข้ามาเผยแพร่ ที่นครศรีธรรมราช
อวยพร	ʔuaj pʰɔːn	wish well; bless	ผู้บังคับกองพันกล่าวคำต้อนรับทหารใหม๋แล้วให้โอวาทและอวยพรขอให้ทุกคนรับราชการจงมีแต่ความเจริญ
บาตร	bàːt	monk's alms bowl	ภาพที่พระสงฆ์ถือบาตรออกไปในเวลาเช้า ไม่ได้ไปขออาหารอย่างที่ชาวต่างประเทศเข้าใจ ท่านไปโปรดสัตว์ต่างหาก
อึ้ง	ʔɯ̂ŋ	be silent; be quit	ผู้จัดการอึ้งไปนาน ก่อนพยักหน้าตอบรับ
พระองค์เจ้า	pʰráʔ ʔoŋ tɕâw	king's son born by a lesser concubine	พระองค์เจ้าดิศวรกุมารได้มีรับสั่งให้นายแมคคาร์ที่ดำเนินการตั้งโรงเรียนแผนที่
กระโปรง	kràʔ proːŋ	skirt	ผู้หญิงสมัยนี้นิยมนุ่งทั้งกระโปรงยาว และกระโปรงสั้น
ปานกลาง	paːn klaːŋ	moderately; averagely	รถนั่งขนาดเล็กยังครองใจกลุ่มผู้ซื้อที่มีรายได้ปานกลางถึงดีซึ่งเป็นตลาดใหญ่ของประเทศ
ลงตัว	loŋ tuːa	complete; perfect; exactly	ตัวเลข prime คือ ตัวเลขที่สามารถถูกหารได้ลงตัวด้วยตัวมันเอง และเลข 1 เท่านั้น
หาร	hǎːn	divide	ปัจจุบันเรามีเครื่องคอมพิวเตอร์ช่วยบวกลบคูณหรือหารเลข ทำให้เราคิดหรือคำนวณเลขได้ผลลัพธ์ที่ถูกต้องแม่นยำ
ราตรี	raː triː	evening	นักดนตรีลากคันชักให้เสียงดนตรีหวานเศร้าแทรกซึ้งเข้าไปในความสงัดของราตรี
เกรด	krèːt	grade	ในชั้นเรียนจะมีการจัดกลุ่มเพื่อแบ่งเกรดของนิสิตนักศึกษาในชั้นเรียน
รับผิด	ráp pʰìt	admit mistake; confess	ผู้มีใจเป็นนักกีฬาคือผู้ที่ทำอะไรผิดไป ก็กล้ารับผิดในสิ่งที่ตนได้พลาดไป
รู้อยู่	rúː ʔà jûː	know; be aware	สามีคิดว่าภรรยาไม่รู้ ที่ไหนได้เธอรู้อยู่ตลอดเวลา
สิทธิมนุษยชน	sìt tʰíʔ má nút sà já tɕʰon	human rights	ทุกวันนี้พม่ายังข่มเหงและละเมิดสิทธิมนุษยชนชนกลุ่มน้อยต่างๆ ในประเทศอยู่
คลาสสิก	kʰlâːt sìk	classical	ประพันธ์ชอบฟังเพลงคลาสสิก
นึกคิด	nɯ́k kʰít	ponder; consider	คนเราควรจะนึกคิดได้เองว่าอะไรควรทำอะไรไม่ควรทำ
กรอก	krɔ̀ːk	fill out; complete	พ่อแม่กำลังกรอกประวัติของลูก
ไวน์	waj	wine	สมัยนี้ไม่มีนักธุรกิจนักการเมืองที่กล้างัดไวน์ขวดละเป็นหมื่นๆ มาเลี้ยงนักข่าวแล้ว
หลุดพ้น	lùt pʰón	become free	จะเห็นได้ว่าภิกษุจำนวนหนึ่งมิได้บวช เพราะต้องการที่จะหลุดพ้น แต่เพราะเห็นว่าสามารถหาประโยชน์จากการบวชได้
ถกเถียง	tʰòk tʰǐːaŋ	dispute	คนงานก่อสร้างกลุ่มของทอนรวมหัวกันที่ร้านข้าวเหนียวส้มตำ ถกเถียงกันเรื่องที่ตั้งและขนาดของไร่
นิพนธ์	níʔ pʰon	compose; write	ข้าพเจ้ารู้จักงานนิพนธ์ของท่านเสฐียรโกเศศมาตั้งแต่สมัยอยู่มัธยมตอนต้น
ภาคตะวันออก	pʰâːk tàʔ wan ʔɔ̀ːk	eastern	การสร้างสนามบินที่ภาคตะวันออกจะช่วยสนับสนุนให้อุตสาหกรรมท่องเที่ยวในภาคตะวันออกเติบโตขึ้น
ลำตัว	lam tuːa	body; torso	ปลาส่วนมากมีลำตัวยาวหัวแหลมท้ายแหลมทำให้ว่ายน้ำได้อย่างคล่องแคล่วว่องไว
ทำนาย	tʰam naːj	predict	การที่เรารู้ทัศนคติของใครคนหนึ่ง มิได้หมายความว่าเราจะทำนายพฤติกรรมของเขาได้
ถึงที่	tʰɯ̌ŋ tʰîː	be doomed to die	แม่ปลงได้แล้วว่าลูกชายคงจะถึงที่จึงได้ตายไป
อนึ่ง	ʔà nɯ̀ŋ	incidentally; by the way	อนึ่ง ความรักใคร่ยังช่วยให้คนเราได้รับความสุขความพอใจอีกด้วย
ผลัก	pʰlàk	push; shove	รุ่นพี่ท่าทางยียวนเข้ามาผลักหน้าอกโก๊ะอย่างเอาเรื่อง
กลยุทธ์	kon lá jút	strategy	นายพลทั้งสี่นายวางกลยุทธ์เผด็จศึกศัตรูให้ราบคาบ
น้ำลาย	náːm laːj	saliva	วิธีแก้ให้หายเผ็ดคือแลบลิ้นแล้วปล่อยให้น้ำลายไหลออกมา
แทรกแซง	sɛ̂ːk sɛːŋ	intervene	ผู้ปลูกกระเทียมและหอมหัวใหญ่ได้เดินขบวนเรียกร้องขอให้รัฐเข้าช่วยเหลือแทรกแซงตลาดกระเทียมและหอมหัวใหญ่เนื่องจากราคาตกต่ำ
กระแทก	kràʔ tʰɛ̂ːk	hit; bump; crash against	มันเป็นเรื่องธรรมดาของวัยรุ่นที่ดิ้นกันต้องมีรายการเหยียบหรือกระแทกกันบ้าง
พระราชา	pʰráʔ raː tɕʰaː	king	พระราชาแห่งแคว้นมคธโปรดให้สร้างสถูปแห่งนี้
กบฏ	kà bòt	rebel; overthrow	ขุนศึกเม็กซิโกนั้นเดี๋ยวกบฏ เดี๋ยวปฏิวัติ นองเลือดกันพอควร
กก	kòk	brood; hatch; incubate	ฝ่ายแดงสวนหมัดเข้าที่กกหูคู่ต่อสู้
หลักประกัน	làk pràʔ kan	guarantee; pledge	ประเทศสมาชิกที่มีปัญหาการขาดดุลการชำระเงินระหว่างประเทศจะต้องมีหลักประกันอย่างแจ่มชัด
ราศี	raː sǐː	zodiac sign; splendor	ชุดสีกากีที่เขาสวมใส่ บัดนี้มันไม่สง่าและไร้ราศี
คว่ำ	kʰwâm	overturn	ทหารใช้อำนาจและปืนที่ตนมีอยู่ทำรัฐประหาร คว่ำรัฐบาล ยุบสภา ฉีกรัฐธรรมนูญทิ้งจากนั้นก็…
แตกแยก	tɛ̀ːk jɛ̂ːk	split up; become divided	เด็กคนนี้อยู่ในครอบครัวที่พ่อแม่รักใคร่กันดี มีศีลธรรม ไม่วิวาท ไม่แตกแยก
ร้องเรียน	rɔ́ːŋ riːan	complain; appeal	สำนักพิมพ์ยักษ์ใหญ่ยื่นหนังสือร้องเรียน กล่าวหาเจ้าหน้าที่กรมวิชาการไม่ให้ความเป็นธรรมในการตรวจหนังสือ
เงย	ŋɤːj	look up; lift; raise one's head	ผู้ทำงานเกี่ยวกับการป้อนข้อมูลจะต้องก้มเงยและนั่งอยู่ตลอดทำให้มีอาการปวดเมื่อยคอ หลังและแขนได้
กระบวน	kràʔ buːan	procession; affection; line	พวกสาวๆ มีกระบวนท่ามากจนบางครั้งน่าเบื่อ
ส่งตัว	sòŋ tuːa	deliver	กรรมการที่เป็นศิลปินซึ่งได้ถูกส่งตัวเข้ามา บางคนไม่เป็นที่ยอมรับของศิลปินผู้ส่งงาน
กลบ	klòp	conceal; cover up	เสียงเครื่องจักรดังมากจนกลบเสียงโทรศัพท์
เคราะห์	kʰrɔ́ʔ	fortune; fate; luck	หมอดูทำนายว่าจะมีเคราะห์ ควรจะต้องไปสะเดาะเคราะห์ด้วยการทำบุญ
การบริการ	kaːn bɔː ríʔ kaːn	services	หลายคนที่เคยขึ้นโรงพักบ่นนักบ่นหนาว่า การบริการอืดอาดล่าช้า ทำให้เสียเวลาเป็นวันๆ
ภาชนะ	pʰâːt náʔ	container	ถ้าของคาวหวานเต็มบาตร เด็กวัดก็จะถ่ายใส่ภาชนะอื่นแทน
สงฆ์	sǒŋ	monk	ลูกศิษย์ต้องไหว้กราบครู ไม่ว่าจะเป็นครูที่เป็นสงฆ์หรือเป็นฆราวาสก็ตาม
ผู้ใหญ่บ้าน	pʰûː jàj bâːn	village leader	ผู้ใหญ่บ้านอ่านแถลงการณ์ของนายอำเภอให้ลูกบ้านฟังอย่างกระจะ
เอาเรื่อง	ʔaw rɯ̂ːaŋ	make problems	แกงนี้เผ็ดเอาเรื่องทีเดียว
หมายเหตุ	mǎːj hèːt	note; comment	เราศึกษาชีวิตทางเศรษฐกิจในภูมิภาคเหล่านี้ได้จากบันทึกท้องถิ่นต่างๆ และหมายเหตุของนักเดินทางชาวตะวันตก
คุณปู่	kʰun pùː	grandfather	คุณปู่ของนพเคยอยู่เมืองจีนมาก่อน
อักเสบ	ʔàk sèːp	inflame; swell	การแพ้วัสดุที่ใช้เย็บแผลอาจทำให้ร่างกายเกิดปฏิกริยา แผลเน่า บวม อักเสบ เป็นเหตุให้แผลมีขนาดใหญ่ขึ้น
เร่งรัด	rêŋ rát	rush; press	การดำเนินงานพัฒนาชุมชนต้องค่อยเป็นค่อยไป จะเร่งรัดให้เสร็จโดยเร็วมิได้
ลื้อ	lɯ́ː	you; Thai ethnic minority	กล้องที่ลื้อใช้อยู่นี่ยี่ห้ออะไร ถ่ายดีไหม
บุคลิกภาพ	bùk kʰá lík kà pʰâːp	personality; character	ี่เขาถนัดลอกเลียนบุคลิกภาพของดารานักร้องดังๆ หลายคน
ทำเนียบ	tʰam nîːap	directory; residence	เมื่อวันอาทิตย์ที่ 29 เดือนนี้ ได้มีการแสดงนาฏศิลป์เขมรที่ทำเนียบเอกอัครราชทูตสหรัฐอเมริกา ในกรุงเทพฯ
ผลเสีย	pʰǒn sǐːa	disadvantage; bad result	การเป็นเบาหวานแล้วไม่รู้ตัวไม่รักษาทำให้เกิดผลเสียต่อหัวใจหลอดเลือดและไต
กระเทือน	kràʔ tʰɯːan	shake; vibrate	พอมีรถบรรทุกวิ่งผ่าน บ้านก็กระเทือนทันที
พาย	pʰaːj	row; paddle; scull	คนพายเรือใช้พายยันเรือออกจากบันไดท่าน้ำ
ขอน	kʰɔ̌ːn	log	ช่างไม้ดัดแปลงขอนไม้ให้เป็นเก้าอี้ในสวน
ชะงัก	tɕʰáʔ ŋák	stop short; stop	ตำรวจยังต้องชะงักเมื่อเกิดอุบัติเหตุรถชนกันต่อหน้าต่อตา
ทาย	tʰaːj	guess	หนังสือพิมพ์ไทยรัฐให้คนอ่านส่งคำตอบทายผลบอลโลก
เครื่องสำอาง	kʰrɯ̂ːaŋ sǎm ʔaːŋ	cosmetics; make-up	การแต่งเติมด้วยเครื่องสำอางทำให้เด็กสาวดูสวยสะดุดตา
ของเสีย	kʰɔ̌ːŋ sǐːa	waste	คนที่อาศัยอยู่ตามริมฝั่งชอบทิ้งของเสียลงแม่น้ำ
ตื้น	tɯ̂ːn	shallow; superficial	นกนางนวลแกลบมักวางไข่ตามแอ่งหินตื้นๆ และตามเกาะแก่งกลางทะเล
คู่มือ	kʰûː mɯː	manual	ปากกาเปรียบเสมือนอาวุธคู่มือของนักหนังสือพิมพ์
วิสัย	wíʔ sǎj	nature; character; limit of one's ability	ปัญหาเม็ดเงินที่เข้ามาเหล่านี้อยู่นอกเหนือวิสัยที่ทางการจะควบคุม
หด	hòt	shrink; contract	แมวหดเล็บของมัน
เงินตรา	ŋɤːn traː	currency; money	ประสบการณ์ในชีวิตไม่สามารถหาซื้อได้ด้วยเงินตรา
โมโห	moː hǒː	angry	เขาโมโหกับเรื่องแก่กระผีกริ้น
รับคำ	ráp kʰam	promise; give ones word	ผมแน่ใจว่าเธอต้องมา เพราะเธอรับคำเป็นมั่นเป็นเหมาะแล้ว
ขว้าง	kʰwâːŋ	pitch; throw	นักเบสบอลคนนี้ขว้างลูกได้เก่งมาก
อาณาเขต	ʔaː naː kʰèːt	territory	ในช่วงเวลาที่มีอำนาจยิ่งใหญ่นั้น นครศรีธรรมราชมีเมืองขึ้นถึง 12 เมือง โดยมีอาณาเขตตั้งแต่จังหวัดชุมพรลงไปจนถึงไทรบุรีในเขตประเทศมาเลเซีย
น้อยใจ	nɔ́ːj tɕaj	offended; upset	อมรน้อยใจเพื่อนๆ ที่ลืมวันเกิดของเขา
จงรักภักดี	tɕoŋ rák pʰák diː	be loyal; be faithful	ญาติผู้ใหญ่ของข้าพเจ้าคนหนึ่งจงรักภักดีต่อพระเจ้าอยู่หัวในรัชกาลที่ 5 อย่างมาก
ยี	jiː	crush; mix; blend	คุณยายกำลังยีลูกตาลเพื่อทำขนมตาล
วิวัฒนาการ	wíʔ wát tʰá naː kaːn	evolution	พระราชวังสนามจันทร์เป็นหลักฐานทางประวัติศาสตร์ อันแสดงถึงวิวัฒนาการการปรับตัว และการเปลี่ยนแปลงของสภาพสังคม
เบี้ย	bîːa	counter in gambling; cowrie shell	พ่อหมอล้วงงาช้าง กระดองเต่า หอยเบี้ยและกระดูกผีออกมากองบนผ้าแดง…
ใจเย็น	tɕaj jen	calm; cool	กัปตันเครื่องบินใจเย็นมาก แม้ในเวลาคับขันก็ทำให้ผู้โดยสารอุ่นใจ
ค่าธรรมเนียม	kʰâː tʰam niːam	fee; charge; due	ธนาคารพาณิชย์ให้บริการเพื่อประโยชน์ของลูกค้า โดยลูกค้าอาจจะเสียค่าธรรมเนียมสำหรับบริการบางอย่างหรือไม่เสียเลยก็ได้
ผลตอบแทน	pʰǒn tɔ̀ːp tʰɛːn	compensation; reward	ผู้ขายเชื่อว่าสินค้าใหม่สามารถทำผลตอบแทนได้ 10-15% ต่อปี
ฝ่าฝืน	fàː fɯ̌ːn	break; infringe; violate	มาตรา 301 ของสหรัฐถือเป็นกฎหมายที่ฝ่าฝืนกติการะหว่างประเทศ
อสังหาริมทรัพย์	ʔàʔ sǎŋ hǎː rim má sáp	real estate	นิรุตเอาอสังหาริมทรัพย์ทั้งหมดไปจำนำกับธนาคาร
หลอด	lɔ̀ːt	tube; straw	หล่อนยกแก้วชาดำเย็นขึ้นดูดน้ำหวานจากหลอด
น้ำยา	nám jaː	chemical solution	ร้านนี้ทำน้ำยาอร่อยมากแต่มีรสเผ็ดไปหน่อย
เพิกถอน	pʰɤ̂ːk tʰɔ̌ːn	withdraw; revoke; repeal	โจทก์ให้เพิกถอนคำสั่งยึดไม้ โดยอ้างว่าได้ซื้อไม้โดยมีใบเบิกทางที่ถูกต้อง
บิ	bìʔ	break off	เขาบิขนมออกเป็นสองชิ้นแบ่งให้ลูกสองคน คนละชิ้น
รัฐศาสตร์	rát tʰà sàːt	political science	การศึกษารัฐศาสตร์ตามแนวใหม่เน้นการศึกษาปรากฏการณ์ทางการเมืองที่เป็นจริง
โรแมนติก	roː mɛːn tìk	romantic	ท่านคงเป็นบุคคลที่อารมณ์โรแมนติกมากทีเดียวถึงได้ระบายอารมณ์ออกมาทางบทกวี
ข่มขู่	kʰòm kʰùː	intimidate; threaten	นักเลงชอบข่มขู่คนที่อ่อนแอกว่า
อุทธรณ์	ʔùt tʰɔːn	appeal	หากส.ส. คนใดต้องการอุทธรณ์ รัฐธรรมนูญเปิดช่องให้อุทธรณ์ต่อศาลรัฐธรรมนูญได้ภายใน 30 วัน
นายแพทย์	naːj pʰɛ̂ːt	doctor	โรงพยาบาลในชนบทมักขาดนายแพทย์ผู้เชี่ยวชาญเฉพาะโรค
เหยียด	jìːat	stretch; extend; despise	ผมไม่เคยเหยียดความสามารถของใคร
หมอน	mɔ̌ːn	pillow	หมอนทำหน้าที่รองรับศีรษะเช่นเดียวกับที่นอนทำหน้าที่รองรับร่างกายขณะหลับ
ตาบอด	taː bɔ̀ːt	blind	บางครอบครัวในภาคอีสานลูกบางคนต้องตาบอด เพราะขาดวิตามินเอ
ปลายทาง	plaːj tʰaːŋ	destination	พระพุทธเจ้าทรงตรัสไว้ว่าปลายทางแห่งชีวิตที่มนุษย์ไม่สามารถหนีพ้นก็คือความตาย
สถาปนา	sà tʰǎː pà naː	establish; found	สมเด็จพระเจ้าตากสินทรงสถาปนากรุงธนบุรีเป็นเมืองหลวงใหม่
ผุด	pʰùt	appear; come up	เขาผุดลุกผุดนั่งหลายครั้งในขณะรอผลสัมภาษณ์
ฟาร์ม	faːm	farm	ศรีราชาฟาร์มเป็นฟาร์มเพาะเลี้ยง และขยายพันธุ์จระเข้ที่ใหญ่ที่สุดในโลก
รายวัน	raːj wan	daily	ข่าวราชการ เป็นหนังสือพิมพ์รายวันฉบับแรกของไทย
ทึ่ง	tʰɯ̂ŋ	surprised; impressed	เด็กชายคนนั้นน่าทึ่งจริงเพราะกล้ากระโดดลงไปช่วยผู้หญิงตกน้ำ
โน้ม	nóːm	bend; draw	เขาโน้มกิ่งไม้ลงมา
เข็น	kʰěn	push	พ่อกับพี่ชายลงมาช่วยกันเข็นเกวียนซึ่งติดอยู่ในปลัก
เกื้อกูล	kɯ̂ːa kuːn	help; assist	ทุกคนจำเป็นต้องร่วมแรงร่วมใจกันบำเพ็ญประโยชน์ต่างๆ ตามหน้าที่ให้สอดคล้อง และเกื้อกูลกันและกันเพื่อประโยชน์ส่วนรวมของชาติ
เกื้อ	kɯ̂ːa	lend a hand	เพราะเป็นคนทันสมัยทันต่อเหตุการณ์โลกปัจจุบันเกื้อให้ไกรสร พรหมวิหารกุมอำนาจการเมืองไว้อย่างเหนียวแน่น
สินเชื่อ	sǐn tɕʰɯ̂ːa	credit	สินเชื่อนี้จะให้กับลูกค้าที่ประสงค์จะซ่อมแซมตกแต่งที่อยู่อาศัยเท่านั้น
บรรทัด	ban tʰát	straight line; ruler	การวาดเขียนโดยไม่ใช้ไม้บรรทัดและวงเวียนเป็นการยากสำหรับเด็ก
ฝ้าย	fâːj	cotton	ที่ราบสูงยูนนานไม่มีการปลูกฝ้าย อาจเป็นเพราะสภาพดินฟ้าอากาศไม่อำนวย
หุ้นส่วน	hûn sùːan	partnership; share; shareholder	กิจการต้องล่มเพราะเกิดความขัดแย้งระหว่างหุ้นส่วน
บด	bòt	grind; crush	เราต้องสอนให้ราษฎรรู้เพาะกล้าข้าว ให้รู้เก็บเกี่ยว สี ฝัด บด และหุงหาเป็นอาหาร
เจ้าพ่อ	tɕâw pʰɔ̂ː	guardian spirit	เขาบุกเบิกอาณาจักรอุตสาหกรรมสิ่งทอในประเทศไทยจนได้ชื่อว่าเป็นเจ้าพ่อสิ่งทอ
เลี้ยว	líːaw	turn	เขาหักพวงมาลัยเลี้ยวขวาเต็มแรงจนรถแทบเสียหลัก
เจ้าสาว	tɕâw sǎːw	bride	ผู้ใหญ่ทางเจ้าสาวมักจะอบรมเจ้าสาวให้เคารพนับถือยำเกรงซื่อสัตย์ต่อสามี
อวกาศ	ʔà wá kàːt	space	อเมริกาส่งจรวดโคจรไปในอวกาศเพื่อสำรวจบรรยากาศนอกโลก
ฉุด	tɕʰùt	pull; drag	คนงานชายหลายคนต้องช่วยกันฉุดต้นไม้ใหญ่ที่ล้มขวางทางอยู่ออกให้พ้นทาง
ดิ้น	dîn	wriggle; squirm	คนเจ็บดิ้นทุรนทุรายด้วยความเจ็บปวดจากแผลไฟไหม้
มาลา	maː laː	wreath	พระบาทสมเด็จพระเจ้าอยู่หัวในชุดฉลองพระองค์เสื้อฝนสีน้ำเงินเข้มและพระมาลากันฝนสีเดียวกัน
ระเบียง	ráʔ biːaŋ	balcony	พระพุทธรูประเบียงวัดมหาธาตุลพบุรี เป็นพระพุทธรูปสลักศิลา
อ้า	ʔâː	spread out; stretch out	งูเห่าพยายามอ้าปากจะกัดพังพอน
ปั่น	pàn	spin	ใบพัดที่ติดกับมอเตอร์ที่หมุนแผ่นดิสก์ช่วยปั่นอากาศให้หมุนเวียน
ประมูล	pràʔ muːn	bid; submit an offer	เขาประมูลเอาบ้านที่ผมต้องการไปเสียแล้ว
กระซิบ	kràʔ síp	whisper	เขากระซิบบอกผมเบาๆ ตามที่เขาได้รับคำสั่งมา
ขืน	kʰɯ̌ːn	force; disobey	ถ้าพ่อแม่ขืนให้หล่อนแต่งงาน หล่อนจะหนีออกจากบ้าน
ประมวลกฎหมาย	pràʔ muːan kòt mǎːj	law code	กรมสรรพากรจัดพิมพ์ประมวลกฎหมายภาษีอากรออกเผยแพร่
ทยอย	tʰá jɔːj	follow one after another	นักเก็งกำไรเกิดรู้สึกกลัวเมื่อเห็นดัชนีหุ้นลดลงจึงเริ่มทยอยขายหุ้นตามตลาดหุ้น
เค็ม	kʰem	salty	เจ้าของบ้านเช่าเค็มมาก สลึงเดียวยังเอาเลย
กาม	kaːm	lust; sexual desire	กามเป็นสิ่งต้องห้ามสำหรับพระสงฆ์
โปรตีน	proː tiːn	protein	เนื้อเป็นอาหารที่ให้โปรตีนสูง
เปลือย	plɯːaj	nude; reveal	ผู้ถูกสัมภาษณ์ได้เปลือยความในใจจนหมดสิ้น
เตี้ย	tîːa	short	เวลาผมนั่งตีระนาดนี่ต้องเอาม้าเตี้ยมารองก้น ไม่งั้นตีไม่ถนัด
คงที่	kʰoŋ tʰîː	constant; stable	คะแนนของเขายังคงที่ไม่เพิ่มขึ้นหรือลดลง
พอง	pʰɔːŋ	swell; be inflated	เมื่อบรรยากาศลดลงความกดดันของก๊าซภายในจะดันภาชนะบรรจุก๊าซให้พองออก
หมั่น	màn	persistent	คะแนนเป็นสิ่งล่อใจเขา ทำให้เขาหมั่นเรียนและอ่านหนังสือ
ข้าวต้ม	kʰâːw tôm	boiled rice soup	คนป่วยควรจะกินข้าวต้มเพราะย่อยง่าย
ผนวก	pʰà nùːak	append; annex	เยอรมนีตะวันตกตัดสินใจผนวกเยอรมนีตะวันออกเข้าไว้ด้วยกัน
สังหาร	sǎŋ hǎːn	slaughter; muder	รัฐมนตรีอินเดียก็ถูกระเบิดสังหารอย่างโหดร้าย
เคลือบ	kʰlɯ̂ːap	coat; decorate	ช่างหล่อเคลือบส่วนที่เป็นโลหะไว้ด้วยขี้ผึ้ง
หลับตา	làp taː	close one's eyes	เขาหลับตา บังคับใจให้ว่าง ไม่รับรู้ว่ากำลังทำอะไรอยู่
เหนียว	nǐːaw	sticky; though	ฝิ่นดิบที่สกัดออกมาได้จากผลฝิ่นนั้นจะเหนียวสีน้ำตาลไหม้ใช้สำหรับสูบหรือรับประทาน
จู่	tɕùː	rush to; move in suddenly	เขาจู่เข้ามาหาผมโดยไม่ทันตั้งตัว
เสี้ยว	sîːaw	quarter	ผมได้เคยสัมผัสบางเสี้ยวในชีวิตของเขา
ค่าเสียหาย	kʰâː sǐːa hǎːj	damages	ในญี่ปุ่นมีโรงงานเคมีใหญ่แห่งหนึ่งถูกศาลตัดสินให้ใช้ค่าเสียหายแก่ประชาชน
บูรพา	buː rá pʰaː	east	พวกมันส่งรถโจรกรรมไปขายประเทศลาวและกองกำลังเขมรด้านชายแดนบูรพา
เจ้าภาพ	tɕâw pʰâːp	host; hostess	คุณพ่อรับเป็นเจ้าภาพงานแต่งงานให้ลูกน้องของท่าน
ราชสำนัก	râːt tɕʰá sǎm nák	royal court	พระเจ้าอนุวงศ์เป็นกษัตริย์ลาวที่มีความใกล้ชิดกับราชสำนักไทยในสมัยรัตนโกสินทร์อย่างมาก
เบื้องหน้า	bɯ̂ːaŋ nâː	in front of	นักวิชาการทำนายว่าเศรษฐกิจไทยในเบื้องหน้ากำลังจะดีขึ้นจากเดิมมาก
วารสาร	waː rá sǎːn	journal; periodical	ไม่นานมานี้มีบทความในวารสารทางการแพทย์ได้วิจารณ์ในเรื่องนี้แล้ว
คลัง	kʰlaŋ	storehouse; warehouse	เมื่อสินค้าที่สั่งมาถึงคลัง พนักงานรับสินค้าจะต้องตรวจของว่าถูกต้องตามที่สั่งหรือไม่
โพ	pʰoː	bodhi tree	หน้าวัดมีต้นโพต้นใหญ่ให้ร่มเงาแก่ผู้สัญจรไปมา
บ้านเกิด	bâːn kɤ̀ːt	homeland	เขาต้องการจะไปเป็นหมอชนบทที่บ้านเกิด ซึ่งต่างกับเพื่อนร่วมวิชาชีพคนอื่นที่ต้องการไปอยู่ในที่เจริญแล้ว
ว่าจ้าง	wâː tɕâːŋ	hire	ผู้เสียผลประโยชน์ว่าจ้างมือปืนมาสังหารผู้ตายเพราะถูกผู้ตายหักหลัง
ดำน้ำ	dam náːm	dive	เขาชอบดำน้ำเป็นชีวิตจิตใจ
